dh_id;dh_code;name;last_assigned_at;status;created_at;updated_at;territory_id;phone_number
30b7dc83-a42d-43fb-9985-12d9b611d9f2;BD10000001;Provath;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;cb7290bd-c8ad-4853-b293-583f6e442287;1720796176
6c0873b2-e67b-4159-ab3a-18bf68fe640c;BD10015998;Pioneer Distribution Ltd.;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;f1dc35b6-7993-4757-9b2f-45066028e802;1718390089
07b67ba0-a333-4f69-898e-091a59adbf99;BD10016000;M/S Chowdhury Traders;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;9a6c0bc5-e5a1-4b93-94e0-253afbdafdbb;1718390730
89211f10-ef93-4274-bba2-a457a6a4a326;BD10016004;Wit International (Distributor);;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;0ea5e243-fa66-4e0b-ba31-990683842b2f;1744000461
20afbb28-0412-473e-8958-d05d55ba2a78;BD10016005;Hassan Corporation (Distributor);;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;4091ab4f-0d01-482e-9169-1444e8d334fb;1718390153
231f2f58-d5b6-41df-9552-2b3783afb3f6;BD10016007;Sales Promotion Service (Unit-2);;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;114c7b8c-7f02-445f-926c-2e1033c8faae;1718391451
bd58a2fe-bbc7-4b3e-bc93-10250daec48d;BD10016008;Bandhan Distribution & Suppliers;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;19f26793-264d-4801-8c35-27adf11254c8;1785106862
c4af75fa-0cb0-4be7-be53-b2aa4646ca3b;BD10072053;Masum Telecom;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;7af97693-993e-4e28-926d-3b2735dcd7f4;1720742912
2d21fcbd-3044-4be4-b227-132c02d498c5;BD10072061;Ms Shakil Traders;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;1cb79d30-1518-479d-aebf-a8fbbe39fa1a;1785123337
d2eb3fad-29e8-46fe-91d9-3d7ef0d12323;BD10072062;Ms Manik Traders;;ACTIVE;2026-03-27 19:55:06.70598+00;2026-03-27 19:55:06.70598+00;eab52aeb-74f8-4d15-acbc-1f59a49e3a71;1785153480
