component_id;price_version_id;component_name;component_type;amount_bdt;sort_order;created_at
8de52697-0c04-4a6e-93ef-f5dbb744299e;8fe7aba5-7cb0-46bb-af6e-105b701a3d58;BASE;MANDATORY;719.00;0;2026-03-19 18:58:07.345252+00
f632d8dd-014c-4e67-812a-efe275d233ca;8fe7aba5-7cb0-46bb-af6e-105b701a3d58;VAT;MANDATORY;138.00;1;2026-03-19 18:58:07.345252+00
5ba4faef-279a-4b73-b36e-421e24d9e2cf;8fe7aba5-7cb0-46bb-af6e-105b701a3d58;SD;MANDATORY;143.00;2;2026-03-19 18:58:07.345252+00
ed480f10-c122-4972-9c71-92d3edd01f79;47f3d62c-59f6-41ba-8e88-c721d53a4e5d;BASE;MANDATORY;2158.00;0;2026-03-19 19:00:14.327997+00
198b66db-d72f-4e3c-8e7f-5942d9ab29c7;47f3d62c-59f6-41ba-8e88-c721d53a4e5d;VAT;MANDATORY;410.00;1;2026-03-19 19:00:14.327997+00
7ff6b984-20d3-4e0f-a589-62312e579ecd;47f3d62c-59f6-41ba-8e88-c721d53a4e5d;SD;MANDATORY;432.00;2;2026-03-19 19:00:14.327997+00
ad62eb40-76bf-4557-a824-42aa58e5ed34;efd1e35a-dbac-4582-95a3-d187624eb001;BASE;MANDATORY;432.00;0;2026-03-19 19:01:38.293657+00
00d9f43a-8745-45ce-8213-578fba7fbcb4;efd1e35a-dbac-4582-95a3-d187624eb001;VAT;MANDATORY;82.00;1;2026-03-19 19:01:38.293657+00
c115b4e1-22b2-4b9a-9824-96bea6b5178f;efd1e35a-dbac-4582-95a3-d187624eb001;SD;MANDATORY;86.00;2;2026-03-19 19:01:38.293657+00
6e57422c-a26d-4722-85a1-2bdbe4666be2;102db7f0-16a8-4620-add2-6ed5e527134b;BASE;MANDATORY;270.00;0;2026-03-19 19:02:40.872234+00
57f7d86c-d98d-4f66-a302-93e0c455dbdf;102db7f0-16a8-4620-add2-6ed5e527134b;VAT;MANDATORY;30.00;1;2026-03-19 19:02:40.872234+00
c7ecc381-deee-4daf-a5ba-db586494c487;752146de-2162-4cf9-9712-07b59b596808;BASE;MANDATORY;23.00;0;2026-03-19 19:03:13.700166+00
dea360ce-656f-4ca7-88fe-50260630272a;752146de-2162-4cf9-9712-07b59b596808;VAT;MANDATORY;2.00;1;2026-03-19 19:03:13.700166+00
43a96d18-de68-433f-ac1f-72afd64526b5;5b7fb45d-e780-4b60-ae2d-e5c2f1be1787;BASE;MANDATORY;27.00;0;2026-03-19 19:03:31.322576+00
95201640-56ff-4055-bb9b-17fac1d3f470;5b7fb45d-e780-4b60-ae2d-e5c2f1be1787;VAT;MANDATORY;3.00;1;2026-03-19 19:03:31.322576+00
52be174b-eb20-42d1-8361-db8f4858e350;57a361e5-f95d-4d2e-b918-301c656fe0ef;BASE;MANDATORY;5400.00;0;2026-03-19 19:03:58.748002+00
2ccf5343-b0e9-4ae6-9668-c869fabadf41;57a361e5-f95d-4d2e-b918-301c656fe0ef;VAT;MANDATORY;600.00;1;2026-03-19 19:03:58.748002+00
7f452f78-fa72-4bab-a109-1bd4979eea53;6e581376-762d-4fd8-a4d5-c30ae3a649ca;BASE;MANDATORY;3600.00;0;2026-03-19 19:04:27.397814+00
ac2e8c5c-702e-4528-b0c1-9e9c04a288b4;6e581376-762d-4fd8-a4d5-c30ae3a649ca;VAT;MANDATORY;400.00;1;2026-03-19 19:04:27.397814+00
3358c764-27ad-4fe6-8c5d-003389d0aa1b;b4ccf3b8-e0e2-4945-8ac2-64fb25edb041;BASE;MANDATORY;1700.00;0;2026-03-19 19:05:13.531001+00
e71fb0a3-8491-4e8f-aeb9-bde69bed04c7;b4ccf3b8-e0e2-4945-8ac2-64fb25edb041;VAT;MANDATORY;200.00;1;2026-03-19 19:05:13.531001+00
